listing_id,title,category,price,location,url,initial_scraped_date,description,Overdracht_Huurprijs,Overdracht_Servicekosten,Overdracht_Aangeboden_sinds,Overdracht_Status,Overdracht_Aanvaarding,Bouw_Hoofdfunctie,Bouw_Soort_bouw,Bouw_Bouwjaar,Oppervlakten_Oppervlakte,Indeling_Aantal_bouwlagen,Energie_Energielabel,Overdracht_Vraagprijs,Bouw_Bouwperiode,Oppervlakten_Perceel,Indeling_Voorzieningen,Omgeving_Ligging,Overdracht_Oorspronkelijke_huurprijs,Oppervlakten_Bedrijfshal_oppervlak,Oppervlakten_Kantoor_oppervlak,Omgeving_Bereikbaarheid,Parkeergelegenheid_Parkeerplaatsen,Parkeergelegenheid_Parkeerkosten,Bouw_Mogelijke_functie(s),Oppervlakten_Verkoopvloeroppervlakte,Omgeving_Bijdrage_winkeliersvereniging,Omgeving_Welstandsklasse,Oppervlakten_Breedte_gevel,Oppervlakten_Draagvermogen,Overdracht_Oorspronkelijke_vraagprijs,Beleggingsobject_Bruto_huuropbrengst,Beleggingsobject_Huurders,Beleggingsobject_Verhuurd
43896455,"Broekstraat 8, Geffen",,,,https://www.fundainbusiness.nl/kantoor/geffen/object-43896455-broekstraat-8/?navigateSource=resultlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43690897,Sterrebos 44,Kantoor,Prijs n.o.t.k.,5344 AM Oss,https://www.fundainbusiness.nl/kantoor/oss/object-43690897-sterrebos-44/?navigateSource=resultlist,2025-06-11 12:03:35,"Te Huur: Veelzijdig  bedrijfspand  op absolute  A1-locatie.   Dit representatieve bedrijfspand met  daarboven  meerdere appartementen, nog te realiseren, is gelegen op  een absolute A1-locatie.  Direct naast het overdekte  winkelcentrum De  Ruwert  en  tegenover een toekomstig medisch centrum, vormt deze plek een dynamisch knooppunt waar wonen, winkelen, zorg en bedrijvigheid samenkomen. Dankzij de recentelijke investeringen in winkelcentrum De Ruwert en de continue ontwikkeling van de omgeving …",Huurprijs nader overeen te komen,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,1972,278 m²,1 bouwlaag,Niet beschikbaar,,,,,Winkelcentrum en in woonwijk,,,,"Bushalte op minder dan 500 m, busknooppunt op 2000 m tot 3000 m, NS Intercitystation op 2000 m tot 3000 m en snelwegafrit op 2000 m tot 3000 m",,,,,,,,,,,,
89054320,Het Frontier 157,Winkel met showroom,Huurprijs op aanvraag,5245 ED Rosmalen,https://www.fundainbusiness.nl/winkel/rosmalen/object-89054320-het-frontier-157/?navigateSource=resultlist,2025-06-11 12:03:40,"Winkelruimte te huur,  gelegen  in Winkelcentrum  Groote Wielen  te Rosmalen.  Locatie  Het  winkelcentrum is het nieuwe hart  van de wijk De  Groote wielen  en gesitueerd  tegen de  Groote Wielenplas  met  ca. 8.000 m2 aan commerciële ruimte. De winkels zijn gelegen in het recent geopende winkelcentrum De Groote Wielen, met hoge mate van zichtbaarheid en gemakkelijke toegang. Naast diverse lokale ondernemers zijn hier Albert Heijn, PLUS, Gall&Gall, Primera en Etos gevestigd.  Vloeroppervlak Wi …",Huurprijs op aanvraag,€ 5 per vierkante meter per jaar (21% BTW van toepassing),Log in om te bekijken,Beschikbaar,In overleg,Winkel met showroom,Bestaande bouw,2024,97 m²,1 bouwlaag,Niet verplicht,,,,,,,,,,,,,97 m²,Nee,,7 m,,,,,
43928419,Cereslaan 16,Kantoor,€ 663 /mnd,5384 VT Heesch,https://www.fundainbusiness.nl/kantoor/heesch/object-43928419-cereslaan-16/?navigateSource=resultlist,2025-06-11 12:03:45,"Object Het te  huur  aangeboden kantoorruimte  aan de  Cereslaan 16 in Heesch  betreft  een representatieve en praktische kantoorkamer van in totaal  circa 39 m².  De ruimte is efficiënt  ingedeeld en  bevind  zich  op de 1e verdieping, bestaande uit een kantoorkamer van circa 27 m² en een separate spreekkamer van circa 12 m². Naast de spreekkamer bevindt zich een compacte pantry (gedeeld), ideaal voor dagelijks gebruik. Het pand is geschikt voor diverse bedrijfsactiviteiten en biedt een pretti …",€ 663 per maand,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,2006,39 m²,3 bouwlagen,"B 1,15",,,,,,,,,,,,,,,,,,,,,
43994187,"Heesterseweg 11, Geffen",,,,https://www.fundainbusiness.nl/bedrijfshal/geffen/object-43994187-heesterseweg-11/?navigateSource=resultlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43994487,Groote Wielenlaan 85-103,Praktijkruimte|Zorginstelling,Huurprijs op aanvraag,5247 JA Rosmalen,https://www.fundainbusiness.nl/praktijkruimte/rosmalen/object-43994487-groote-wielenlaan-85-103/?navigateSource=resultlist,2025-06-11 12:03:57,"GEZONDHEIDSCENTRUM DE GROOTE  WIELEN  – PRAKTIJKRUIMTE  TE HUUR   In het gezondheidscentrum  De  Groote Wielen in Rosmalen bieden  wij  meerdere  praktijkruimtes aan met een  totale  oppervlakte  van circa 208 m² b.v.o  en vanaf 23 m² b.v.o.    Het Gezondheidscentrum De Groote Wielen biedt een professionele en toekomstgerichte werkomgeving. Hier vindt u vrijwel alle eerstelijns medische disciplines onder één dak, waaronder een huisartsenpraktijk, een tandarts, een fysiotherapeut, een psycholoog …",Huurprijs op aanvraag,,Log in om te bekijken,Beschikbaar,In overleg,Praktijkruimte,Bestaande bouw,2010,264 m²,,A,,,,,In woonwijk,,,,,,,Zorginstelling,,,,,,,,,
43983834,"Friezenstraat 12-K, Rosmalen",,,,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43983834-friezenstraat-12-k/?navigateSource=resultlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89340973,Pastoor Roesweg 2,Religieuze instelling,€ 1.275.000 k.k.,5398 HR Maren-Kessel,https://www.fundainbusiness.nl/religieus/maren-kessel/object-89340973-pastoor-roesweg-2/?navigateSource=resultlist,2025-06-11 12:04:00,In het dorpscentrum  van  Maren-Kessel wordt  aangeboden de  voormalige Heilige Lambertuskerk met  naastgelegen  pastorie. Het complex heeft een  royale maatvoering om er  in een  herbestemming een  mooie nieuwe  functie in  te  kunnen realiseren.  Het betreft een gemeentelijk monument en de de oppervlakte van de kerk bedraagt 1.030 m² en de pastorie heeft een oppervlakte van 270 m².  Het is mogelijk dit onroerend goed tezamen of apart te verwerven en de brochure is te downloaden via de website …,,,Log in om te bekijken,Beschikbaar,In overleg,Religieuze instelling,Bestaande bouw,1951,1.300 m²,,Niet beschikbaar,€ 1.275.000 kosten koper,,4.077 m²,,Landelijk gebied,,,,,,,,,,,,,,,,
43959759,"Friezenstraat 12-F, Rosmalen",,,,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43959759-friezenstraat-12-f/?navigateSource=resultlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43837104,"Friezenstraat 12-X, Rosmalen",,,,https://www.fundainbusiness.nl/bedrijfshal/rosmalen/object-43837104-friezenstraat-12-x/?navigateSource=resultlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
