listing_id,title,price,area,location,url,scraped_date,description,Overdracht_Vraagprijs,Overdracht_Aangeboden sinds,Overdracht_Status,Overdracht_Aanvaarding,Bouw_Hoofdfunctie,Oppervlakten_Totale oppervlakte,Oppervlakten_Type land,Oppervlakten_Veldkavels,kadastrale_code,eigendomssituatie,Oppervlakten_Grondsoort,Oppervlakten_Grond lengte,Oppervlakten_Grond breedte,Oppervlakten_Huiskavels,Bouw_Mogelijke functie(s)
,Duikerskampweg,Prijs op aanvraag,,4031 KS Ingen,https://www.fundainbusiness.nl/agrarische-grond/ingen/object-42213195-duikerskampweg/?navigateSource=resultlist,2025-06-05 12:21:43,"Bieden vanaf €  23,50  per m²  k.k.; Twee  mooie percelen agrarische cultuurgrond;  In  gebruik als boomgaard, opstand appels (Elstar/Elrosa/Elshof) en peren  (Conference); Totale perceeloppervlakte  4.24.10 ha; De percelen  hebben een  goede  ontsluiting  en bereikbaarheid;  De percelen zijn voorzien van nieuwe beregening en drainage; De percelen zijn voorzien van afsluitbare hekken;  Mogelijkheid om te beregenen met water uit de wetering.",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bouwland,,LIENDEN I 636-LIENDEN K 332,2 ha 92 a 80 ca (geheel perceel)-1 ha 31 a 30 ca (geheel perceel),,,,,
,Withagsmedenweg,Verkoop bij inschrijving,,7561 PA Deurningen (Gem. Dinkelland),https://www.fundainbusiness.nl/agrarische-grond/deurningen-gem-dinkelland/object-89397182-withagsmedenweg/?navigateSource=resultlist,2025-06-05 12:21:47,"Verkoop bij inschrijving    Namens de  Provincie Overijssel  bieden wij te koop  aan:  diverse percelen ingerichte natuurgrond met een totale oppervlakte  van 36.28.37 ha. verdeeld  over vier kavels.  De  vraagprijs dient  als  richtlijn  en moedigt geïnteresseerden aan om een bod uit te brengen.  De percelen liggen op een prachtige locatie langs de Deurningerbeek en de Gammelkerbeek, tussen de dorpen Saasveld en Deurningen. Dit is een kans voor natuurliefhebbers, ecologen, agrarische onderneme …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Grasland en bosperceel,,M-V-W,7 ha 0 a 41 ca (geheel perceel)-17 ha 62 a 90 ca (geheel perceel)-6 ha 1 a 35 ca (geheel perceel),,,,,
,De Hoeven 60,Prijs op aanvraag,,5254 JX Haarsteeg,https://www.fundainbusiness.nl/agrarische-grond/haarsteeg/object-89322436-de-hoeven-60/?navigateSource=resultlist,2025-06-05 12:21:50,VERKOOP BIJ INSCHRIJVING  !   2  kavels akkerland  omgeven door een sloot  in  gebruik als grasland gelegen aan Het Zand te  Haarsteeg (Heusden)   Kavel 1 is groot  82 are  en  70  ca. Kavel 2 is groot 1 ha en 80 ca.  De inschrijving kan op ieder kavel afzonderlijk en op beide kavels   De verkoper heeft het recht van gunning. Dit betekent dat de verkoper zelf mag bepalen of de combinatie van prijs en eventuele voorwaarden voldoende zijn om aan een bepaalde partij in de bieding te verkopen.  Een …,Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Grasland,,HEUSDEN G 311-HEUSDEN G 310,1 ha 0 a 80 ca (geheel perceel)-0 ha 82 a 70 ca (geheel perceel),Klei,,,,
,Noordeindseweg 54,Prijs op aanvraag,,2645 BC Delfgauw,https://www.fundainbusiness.nl/agrarische-grond/delfgauw/object-89296807-noordeindseweg-54/?navigateSource=resultlist,2025-06-05 12:21:53,"Algemeen:  Het  object  bestaat uit  een aantal  aan elkaar gelegen percelen  grasland,  nu behorend bij het melkveebedrijf aan de Noordeindseweg  54 te Delfgauw.  Op de percelen is  een mestbassin  (mestzak)  gelegen  plus een tweetal kuilvoerplaten.  De percelen zijn middels een brede dam ontsloten op de Vrederustlaan.  De gronden zijn thans in gebruik als (blijvend) grasland. De landerijen zijn grotendeels gedraineerd op een onderbemaling.  Omgevingsplan:  Per 1-1-2024 is van rechtswege het  …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,24 ha 57 a 63 ca,Grasland,,PIJNACKER-NOOTDORP F 1412-PIJNACKER-NOOTDORP F 567-PIJNACKER-NOOTDORP F 1411-PIJNACKER-NOOTDORP F 568-PIJNACKER-NOOTDORP F 359-PIJNACKER-NOOTDORP F 564-PIJNACKER-NOOTDORP F 184-PIJNACKER-NOOTDORP F 602-PIJNACKER-NOOTDORP F 565-PIJNACKER-NOOTDORP F 182-PIJNACKER-NOOTDORP F 186-PIJNACKER-NOOTDORP F 183-PIJNACKER-NOOTDORP F 358,6 ha 1 a 90 ca (geheel perceel)-1 ha 4 a 25 ca (geheel perceel)-4 ha 90 a 35 ca (geheel perceel)-1 ha 14 a 30 ca (geheel perceel)-1 ha 72 a 50 ca (geheel perceel)-0 ha 87 a 85 ca (geheel perceel)-0 ha 83 a 40 ca (geheel perceel)-0 ha 8 a 10 ca (geheel perceel)-0 ha 83 a 8 ca (geheel perceel)-1 ha 29 a 40 ca (geheel perceel)-3 ha 19 a 30 ca (geheel perceel)-1 ha 59 a 30 ca (geheel perceel)-1 ha 3 a 90 ca (geheel perceel),Klei,,,24 ha 57 a 63 ca,
,Oude Weimerstraat,Prijs op aanvraag,,4884 Wernhout,https://www.fundainbusiness.nl/agrarische-grond/wernhout/object-43875875-oude-weimerstraat/?navigateSource=resultlist,2025-06-05 12:21:57,"PERCEEL LANDBOUWGROND MET  TRAYVELD/CONTAINERVELD  MOGELIJKHEID OM  KLEINERE PERCELEN  AAN TE KOPEN!   Een  perceel landbouwgrond met containerveld, boogkas en tunnels en  mogelijkheid voor teeltondersteunende  voorzieningen op de volledige  oppervlakte. Indien  gewenst,  zal  verkoper de aanwezige voorzieningen verwijderen.  Het perceel is gelegen aan Oude Weimerstraat te Wernhout. Het perceel heeft een grootte van ca. 4.88.12 ha. Het perceel is niet gedraineerd. Wel is er de mogelijkheid om d …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,4 ha 88 a 12 ca,Grasland,,ZUNDERT T 515-ZUNDERT T 517-ZUNDERT T 518-ZUNDERT T 519,0 ha 6 a 35 ca (geheel perceel)-2 ha 73 a 42 ca (deelperceel)-1 ha 20 a 95 ca (geheel perceel)-0 ha 87 a 40 ca (geheel perceel),Zand,,,4 ha 88 a 12 ca,
,Cuykschesteeg,Prijs op aanvraag,,5364 Escharen,https://www.fundainbusiness.nl/agrarische-grond/escharen/object-89181699-cuykschesteeg/?navigateSource=resultlist,2025-06-05 12:22:02,VERKOOP BIJ INSCHRIJVING    Namens Groen  Ontwikkelfonds Brabant  worden twee percelen natuurgrond  aangeboden  die gelegen zijn aan de Vegetasscheweg / Cuykschesteeg  in Grave -  Escharen. De percelen behoren  tot het  Natuurnetwerk  Brabant  (NNB). Doel van deze verkoop bij inschrijving is de aanleg en instandhouding van een natuurbos. Dit natuurbos is bedoeld als compensatie voor bos in het Natuurnetwerk Brabant dat verloren gaat bij de reconstructie van de provinciale weg N321.   In de insc …,Prijs op aanvraag,Log in om te bekijken,Beschikbaar,,Losse grond,,Bouwland,,GRAVE C 1630-GRAVE C 2097,0 ha 19 a 10 ca (geheel perceel)-2 ha 36 a 64 ca (geheel perceel),Zand,,,,
,Laarstraat 37,Prijs op aanvraag,,5712 RT Someren,https://www.fundainbusiness.nl/agrarische-grond/someren/object-43534250-laarstraat-37/?navigateSource=resultlist,2025-06-05 12:22:06,"In het glastuinbouwconcentratiegebied  Vlasakkers  te Someren  bieden wij  u een containerveld aan  met  een teeltoppervlakte van ca. 18.000 m². Het perceel  beschikt over een  eigen ontsluiting op de  Laarstraat.   PERSPECTIEVEN  Vanwege  de ligging in een vestigingsgebied Glastuinbouw liggen er mogelijkheden voor (nieuw)vestiging van glastuinbouwbedrijven. De vestiging van, uitbreiding van en omschakeling naar overige functies is slechts toegestaan als deze ontwikkeling de gebruiks- en ontwik …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bouwland,,SOMEREN R 347,2 ha 85 a 0 ca (geheel perceel),,,,,
,De Terp,Prijs op aanvraag,,1911 AH Uitgeest,https://www.fundainbusiness.nl/agrarische-grond/uitgeest/object-43832072-de-terp/?navigateSource=resultlist,2025-06-05 12:22:09,"Agrarische grond van  7,8  hectare in  Uitgeest –  uitstekende ligging en bereikbaarheid    Op een strategische locatie in Uitgeest, direct naast  de A9 en  de N203, ligt dit  agrarische perceel  van  maar  liefst 78.280 m² (7,8 hectare). Gelegen op een centrale ligging tussen Amsterdam, Alkmaar en de kust, met een station in de directe nabijheid.  Bestemming en gebruiksmogelijkheden Volgens het bestemmingsplan Buitengebied van de gemeente Uitgeest (vastgesteld op 25-11-2014) heeft het perceel  …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Grasland,,UITGEEST I 525-UITGEEST I 523-UITGEEST I 527-UITGEEST I 528-UITGEEST I 522-UITGEEST I 524-UITGEEST I 365-UITGEEST I 526-UITGEEST I 521,1 ha 0 a 0 ca (geheel perceel)-1 ha 0 a 0 ca (geheel perceel)-1 ha 0 a 0 ca (geheel perceel)-1 ha 15 a 0 ca (geheel perceel)-1 ha 0 a 0 ca (geheel perceel)-1 ha 0 a 0 ca (geheel perceel)-0 ha 48 a 30 ca (geheel perceel)-1 ha 0 a 0 ca (geheel perceel)-0 ha 19 a 50 ca (geheel perceel),Klei,,,,
,volgerweg,Prijs op aanvraag,,1461 HS Zuidoostbeemster,https://www.fundainbusiness.nl/agrarische-grond/zuidoostbeemster/object-89265855-volgerweg/?navigateSource=resultlist,2025-06-05 12:22:13,"TE KOOP in  de  Beemster Volgerweg,  14.22.40 ha  kleigrond  Vraagprijs op  aanvraag   Omschrijving object algemeen	 Twee percelen landbouwgrond   Situering Het land  is gelegen aan de  Volgerweg te  Zuidoostbeemster  nabij  de Nekkerweg en Fort Beemster. Het betreft twee percelen land.  Het land is bereikbaar door middel van een dam aan de Volgerweg en een tussendam tussen de twee percelen. Aan de noordzijde grenst de kavel aan de Provinciale weg N244.   Gronden Het betreft twee percelen. Op d …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,14 ha 22 a 40 ca,Bouwland,,BEEMSTER G 690,14 ha 22 a 40 ca (geheel perceel),Klei,885 meter,93 meter,14 ha 22 a 40 ca,
,Amsteldijk-Zuid 400,Prijs op aanvraag,,1424 TA De Kwakel,https://www.fundainbusiness.nl/agrarische-grond/de-kwakel/object-89160537-amsteldijk-zuid-400/?navigateSource=resultlist,2025-06-05 12:22:17,"Namens opdrachtgever TE  KOOP  aangeboden:   Percelen grond  aan de Amsteldijk-Zuid te  De  Kwakel. A. Omschrijving  ALGEMEEN: De grond is  gelegen aan de  Amsteldijk-Zuid te De Kwakel.  Het perceel  is  in  gebruik als agrarische grond. Het perceel is ontsloten middels een openbare weg.  GEBRUIK: Op dit moment zijn de gronden in gebruik bij een agrariër. De grond wordt vrij van gebruik geleverd. Er is geen bebouwing aanwezig. B. Kadaster, bestemming en erfdienstbaarheden  KADASTRALE KENMERKEN: …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bouwland,,UITHOORN C 1792-UITHOORN C 4169,1 ha 46 a 0 ca (geheel perceel)-4 ha 32 a 5 ca (geheel perceel),Veen,,,,
,Groeneveldseweg 8-nabij,€ 95.000 k.k.,,2678 ND De Lier,https://www.fundainbusiness.nl/agrarische-grond/de-lier/object-43473725-groeneveldseweg-8-nabij/?navigateSource=resultlist,2025-06-05 12:22:21,"KADASTRALE GEGEVENS:   Gemeente		  : De  Lier Sectie			:  H Nummer	 	: 787,  790,  901, 903 en 905 Coördinaten 		: 78453-445182 |  78428-445130 | 78434-445146  |78432 -445141 | 					   78431  -445134  Totale  oppervlakte	: 3.843 m²  Een perceel tuinland gelegen nabij Groeneveldseweg 8 te De Lier. Het perceel heeft de bestemming glastuinbouw.  1. GROND		 Grondsoort		: klei Oppervlakte		: 3.843 m² Kavelbreedte		: ca. 40 m. Kavelvorm		        : rechthoekig  2. LIGGING EN BEREIKBAARHEID  Het percee …",€ 95.000 k.k.,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,0 ha 38 a 43 ca,Grasland,0 ha 38 a 43 ca,DE LIER H 787-DE LIER H 790-DE LIER H 901-DE LIER H 903-DE LIER H 905,0 ha 37 a 30 ca (geheel perceel)-0 ha 0 a 76 ca (geheel perceel)-0 ha 0 a 17 ca (geheel perceel)-0 ha 0 a 4 ca (geheel perceel)-0 ha 0 a 16 ca (geheel perceel),Klei,,,,
,Provincialeweg,Prijs op aanvraag,,4031 JM Ingen,https://www.fundainbusiness.nl/agrarische-grond/ingen/object-42043718-provincialeweg/?navigateSource=resultlist,2025-06-05 12:22:39,"• Mooi PERCEEL  AGRARISCHE  CULTUURGROND •  In gebruik  als boomgaard, opstand peren  (Beurré  Alexander Lucas en Conference) • Perceeloppervlakte 1.53.40 ha  • Het perceel  heeft een goede ontsluiting  en bereikbaarheid  •  Het  perceel is voorzien van beregening met sproeiers • Rondom het perceel zijn sloten aanwezig   Bijzonderheden: Mooi perceel agrarische cultuurgrond; In gebruik als boomgaard, opstand peren (Beurré Alexander Lucas en Conference); Het perceel heeft een goede ontsluiting en …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bouwland,,INGEN F 319,1 ha 53 a 40 ca (geheel perceel),,,,,
,Bovenkerkseweg 49,Verkoop bij inschrijving,,2821 XT Stolwijk,https://www.fundainbusiness.nl/agrarische-grond/stolwijk/object-43949458-bovenkerkseweg-49/?navigateSource=resultlist,2025-06-05 12:22:43,"Te koop bij  inschrijving   17,1  ha landbouwgrond  in Stolwijk, verdeeld in  10,9  ha grond aan de Bovenkerkseweg (eigendom) en 6,2  ha aan de  Bilwijkerweg (in erfpacht van  ASR)  Betreft  Veengrond   Uitgebreide informatie in brochure.",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,17 ha 12 a 99 ca,Grasland,17 ha 12 a 99 ca,STOLWIJK C 287-STOLWIJK C 288-STOLWIJK C 289-STOLWIJK C 290-STOLWIJK C 291-STOLWIJK C 292-STOLWIJK C 293-STOLWIJK C 294-STOLWIJK C 306-STOLWIJK C 307-STOLWIJK C 308-STOLWIJK C 309-STOLWIJK C 310-STOLWIJK C 311-STOLWIJK C 312-STOLWIJK C 313-STOLWIJK C 314-STOLWIJK C 315-STOLWIJK C 316-STOLWIJK C 317-STOLWIJK C 318-STOLWIJK C 320-STOLWIJK C 321-STOLWIJK C 324-STOLWIJK C 325-STOLWIJK C 328-STOLWIJK C 1657-STOLWIJK C 1660-STOLWIJK C 1661-STOLWIJK C 1663-STOLWIJK C 1664-STOLWIJK C 1674-STOLWIJK C 1675-STOLWIJK C 1952-STOLWIJK C 327-STOLWIJK A 2817-STOLWIJK A 2820-STOLWIJK A 2901,0 ha 20 a 20 ca (geheel perceel)-0 ha 3 a 70 ca (geheel perceel)-0 ha 11 a 70 ca (geheel perceel)-0 ha 8 a 40 ca (geheel perceel)-0 ha 8 a 70 ca (geheel perceel)-0 ha 96 a 60 ca (geheel perceel)-0 ha 27 a 10 ca (geheel perceel)-0 ha 3 a 90 ca (geheel perceel)-1 ha 63 a 60 ca (geheel perceel)-0 ha 7 a 90 ca (geheel perceel)-0 ha 4 a 40 ca (geheel perceel)-0 ha 11 a 0 ca (geheel perceel)-1 ha 67 a 20 ca (geheel perceel)-0 ha 4 a 30 ca (geheel perceel)-1 ha 51 a 50 ca (geheel perceel)-0 ha 7 a 60 ca (geheel perceel)-0 ha 6 a 80 ca (geheel perceel)-0 ha 6 a 30 ca (geheel perceel)-0 ha 1 a 90 ca (geheel perceel)-0 ha 9 a 70 ca (geheel perceel)-0 ha 4 a 90 ca (geheel perceel)-0 ha 12 a 70 ca (geheel perceel)-0 ha 8 a 20 ca (geheel perceel)-0 ha 11 a 30 ca (geheel perceel)-1 ha 35 a 0 ca (geheel perceel)-1 ha 51 a 60 ca (geheel perceel)-0 ha 11 a 20 ca (geheel perceel)-0 ha 0 a 90 ca (geheel perceel)-0 ha 3 a 0 ca (geheel perceel)-0 ha 3 a 10 ca (geheel perceel)-0 ha 4 a 40 ca (geheel perceel)-0 ha 4 a 35 ca (geheel perceel)-0 ha 3 a 35 ca (geheel perceel)-0 ha 5 a 70 ca (geheel perceel)-0 ha 9 a 60 ca (geheel perceel)-2 ha 63 a 29 ca (geheel perceel)-1 ha 72 a 90 ca (geheel perceel)-1 ha 85 a 0 ca (geheel perceel),,,,,
,Besselaar,Prijs op aanvraag,,5294 NH Gemonde,https://www.fundainbusiness.nl/agrarische-grond/gemonde/object-89399020-besselaar/?navigateSource=resultlist,2025-06-05 12:22:49,"TE KOOP BIJ  INSCHRIJVING:  Een perceel  landbouwgrond met  stalling, ter grootte van  00.52.70  ha. Inschrijven is mogelijk t/m vrijdag 4 juli  2025 tot 12.00  uur.  Omschrijving Perceel  landbouwgrond met  paardenstalling  op  een perceeloppervlakte van 00.52.70 hectare, staande en gelegen te GEMONDE, in de gemeente SINT-MICHIELSGESTEL, aan de Besselaar (naast huisnummer 4).   Kadastrale gegevens Gemeente SINT-MICHIELSGESTEL, sectie O, nummer 578, ter grootte van 	00.52.70 ha  Aantekening kad …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,,Losse grond,,Grasland,,SINT-MICHIELSGESTEL O 578,0 ha 52 a 70 ca (geheel perceel),Zand,,,,
,Peerweg,Verkoop bij inschrijving,,3785 KL Zwartebroek,https://www.fundainbusiness.nl/agrarische-grond/zwartebroek/object-43987661-peerweg/?navigateSource=resultlist,2025-06-05 12:22:54,"Namens onze opdrachtgever  mogen  wij u  aanbieden een  PERCEEL CULTUURGROND. De grond  wordt  aangeboden middels een (besloten) vrijwillige verkoop bij inschrijving.  De voorwaarden en  condities die voor deze  inschrijving gelden  leest  u  terug in de brochure.  Het biedingsformulier, welke te verkrijgen is via ons kantoor, is in te leveren t/m maandag 26 mei 2025 tot 17.00 uur bij Midden Nederland Makelaars Barneveld, Kampstraat 32 te Barneveld of per e-mail:  (met ontvangstbevestiging vers …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,3 ha 21 a 90 ca,Bouwland,3 ha 21 a 90 ca,VOORTHUIZEN B 98-VOORTHUIZEN B 99,2 ha 4 a 70 ca (geheel perceel)-1 ha 17 a 20 ca (geheel perceel),,,,,
,Lange Bunderpad,€ 101.250 k.k.,,4823 Breda,https://www.fundainbusiness.nl/agrarische-grond/breda/object-89332865-lange-bunderpad/?navigateSource=resultlist,2025-06-05 12:22:59,Namens opdrachtgever TE  KOOP  aangeboden:   Perceel prima  landbouwgrond ter grootte van  ca  0.67.50 ha  Perceel goede landbouwgrond gelegen aan  de Lange Bunderpad  ong. te Breda   A.	Omschrijving ALGEMEEN    De  grond is gelegen aan de Bredestraat ong. te Huijbergen. Het perceel is in gebruik als agrarische grond. Het perceel is ontsloten middels een openbare weg.  GEBRUIK   Op dit moment zijn de gronden in gebruik bij een agrariër. De grond wordt vrij van gebruik geleverd. Er is geen bebou …,€ 101.250 k.k.,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bouwland,,BREDA K 1000,0 ha 32 a 50 ca (deelperceel),Klei,,,,
,Biestsestraat,Verkoop bij inschrijving,,5084 HT Biest-Houtakker,https://www.fundainbusiness.nl/agrarische-grond/biest-houtakker/object-43977874-biestsestraat/?navigateSource=resultlist,2025-06-05 12:23:03,"VERKOOP BIJ INSCHRIJVING:  EEN  PERCEEL LANDBOUWGROND  Een perceel  landbouwgrond gelegen aan de  Biestsestraat  te Biest-Houtakker, met een oppervlakte van ca. 4.30.40  ha. Het perceel  is bereikbaar via een  openbare, verharde  weg.  Het  perceel is vrij gelegen en niet voorzien van drainage. Er is geen beregeningsput of vergunning aanwezig.  Teeltplan In gebruik als grasland.  Ontwatering De ontwatering vindt plaats middels omliggende sloten en twee sloten die zich op het perceel bevinden.   …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,,Losse grond,4 ha 30 a 40 ca,Grasland,,HILVARENBEEK M 581-HILVARENBEEK M 582-OISTERWIJK L 1245,2 ha 3 a 25 ca (deelperceel)-0 ha 72 a 35 ca (geheel perceel)-1 ha 54 a 80 ca (geheel perceel),,,,4 ha 30 a 40 ca,
,Zwartakkers/Rond Deel,Verkoop bij inschrijving,,5531 PB Bladel,https://www.fundainbusiness.nl/agrarische-grond/bladel/object-43960714-zwartakkers-rond-deel/?navigateSource=resultlist,2025-06-05 12:23:06,"Twee percelen landbouwgrond  gelegen  aan Zwartakkers  (36.660 m²)  en Rond Deel (93.060  m²)  te Bladel. De percelen zijn rechthoekig en via  een openbare, verharde  weg te bereiken. Aan  de zuid-  en  noordzijde  grenst het perceel tot aan de perceelgrens met het buurperceel en aan de west- en oostzijde grenst het perceel tot een gemeentelijke waterloop. De percelen zijn niet voorzien van drainage. Er is eventueel een beregeningsput ter overname (zie inschrijfformulier).   Teeltplan Het teelt …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,12 ha 97 a 20 ca,Bouwland,,BLADEL H 355-BLADEL H 356,3 ha 66 a 60 ca (geheel perceel)-9 ha 30 a 60 ca (geheel perceel),Zand,,,12 ha 97 a 20 ca,
,Heide 5,€ 478.500 k.k.,,5981 NX Panningen,https://www.fundainbusiness.nl/agrarische-grond/panningen/object-89316925-heide-5/?navigateSource=resultlist,2025-06-05 12:23:11,"landbouwgrond te koop  in  Panningen;  Mooi perceel  landbouwgrond te Beringe groot  4,35  HA zichtlocatie Sectie Helden  H  nr  116 en 117 Gelegen Noorderbaan  /  Heide nabij  camping  Beringerzand  Vlak  perceel goed  bereikbaar en van goede kwaliteit Geregistreerde beregeningsput is aanwezig Perceel met Agrarische bestemming Geschikt voor diverse doeleinden Aanvaarding in overleg Verkoop bij inschrijving",€ 478.500 k.k.,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bouwland,,PEEL EN MAAS S-PEEL EN MAAS S 116,2 ha 79 a 23 ca (geheel perceel)-1 ha 54 a 31 ca (geheel perceel),Zand,,,,
,Vliertseweg,Verkoop bij inschrijving,,5334 Velddriel,https://www.fundainbusiness.nl/agrarische-grond/velddriel/object-89250354-vliertseweg/?navigateSource=resultlist,2025-06-05 12:23:21,"VERKOOP BIJ INSCHRIJVING    Algemeen							 De  onderhavige verkoop  per inschrijving betreft een  kadastraal  perceel landbouwgrond. De betreffende  grond  gelegen  ten noordwesten van Velddriel. De  betreffende  perceel is  ontsloten  op  de  openbare verharde  weg, plaatselijk bekend als Vliertseweg te Velddriel. Het geheel is door de jaren heen in gebruik geweest als (blijvend) grasland.   Kadastrale gegevens Kadastrale gemeente Maasdriel, sectie M, nummer 26 groot 1.55.40 ha./  15.540 m².  …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,,Losse grond,1 ha 54 a 20 ca,Grasland,1 ha 54 a 20 ca,MAASDRIEL M 26,1 ha 54 a 20 ca (geheel perceel),Klei,367 meter,42 meter,,
,de Heiberg,Prijs op aanvraag,,4721 SJ Schijf,https://www.fundainbusiness.nl/agrarische-grond/schijf/object-89055581-de-heiberg/?navigateSource=resultlist,2025-06-05 12:23:26,"Perceel cultuurgrond nabij  de  Heiberg te  Schijf totaal  groot ca. 01.53.50 ha    Situering Het perceel van  totaal  01.53.50  ha groot is gelegen nabij  de  Heiberg te  Schijf.    Kadastrale  gegevens Het  geheel is als volgt kadastraal bekend:   Kadastrale gemeente    Sectie     Nummer     Groot     Eenheid       Plaatselijk bekend  Rucphen                               K            639         01.53.50       Ha            Nabij de Heiberg, Schijf                                             …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bouwland,,RUCPHEN K 639,1 ha 53 a 50 ca (deelperceel),Zand,,,,
,Henegouwerweg 21,Prijs op aanvraag,,2741 KS Waddinxveen,https://www.fundainbusiness.nl/agrarische-grond/waddinxveen/object-89014279-henegouwerweg-21/?navigateSource=resultlist,2025-06-05 12:23:29,"Perceel cultuurgrond gelegen  in  het bestemmingsplan  Landelijk Veen  gemeente Waddinxveen.  Bestemming;  Enkelbestemming  agrarisch met waarden - natuur en landschapswaarden Dubbelbestemming;  Waarde - Archeologie  4  Bijzonderheden Het  perceel is  gelegen  de  Gouwe Polder  Dit deel van het plangebied is een voorbeeld van een klassieke Hollandse ontginning, waarbij het veen door de aanleg van sloten en dijken werd ontwaterd ten nutte van de landbouw.  Om een goede afwatering te garanderen w …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Grasland,,WADDINXVEEN G 2713,8 ha 15 a 68 ca (geheel perceel),Veen,8100 meter,10 meter,,
,Meulunterseweg,Prijs op aanvraag,,6741 HL Lunteren,https://www.fundainbusiness.nl/agrarische-grond/lunteren/object-42371299-meulunterseweg/?navigateSource=resultlist,2025-06-05 12:23:34,"LET OP: DE  BROCHURE  IS TE  DOWNLOADEN VIA  FUNDA EN ONZE SITE    Meulunterseweg bij nummer 19 - Lunteren  Bieden  op de agrarische  cultuurgrond en de voormalige  agrarische opstallen  met  ondergrond  en erf, groot circa 5.89.00 ha (variant I) Bieden op de agrarische cultuurgrond met toegangspad, groot circa 4.56.50 ha (variant II) Bieden op de voormalige agrarische opstallen met circa 1.32.50 ha ondergrond en erf (variant III)  • Een uniek object bestaande uit agrarische cultuurgrond en voo …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Grasland,,LUNTEREN I 1978,4 ha 56 a 50 ca (deelperceel),,,,,
,Steenwetering 2-ong,Prijs op aanvraag,,8028 RB Zwolle,https://www.fundainbusiness.nl/agrarische-grond/zwolle/object-87620890-steenwetering-2-ong/?navigateSource=resultlist,2025-06-05 12:23:37,"TE KOOP:  Perceel grasland ter grootte van 24463m2 (2ha 44a 63ca)  gelegen in Zwolle naast Steenwetering 2, grenzend aan Industrieterrein Hessenpoort.  voor meer info: Klaas Brouwer 06 27001960",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Grasland,,ZWOLLE Z 191,2 ha 44 a 63 ca (geheel perceel),,,,,
,Oude Hellendoornseweg,Verkoop bij inschrijving,,7451 JM Holten,https://www.fundainbusiness.nl/agrarische-grond/holten/object-43932884-oude-hellendoornseweg/?navigateSource=resultlist,2025-06-05 12:23:41,"Heeft u belangstelling  voor  een eigen  bosperceel op  de Holterberg voor uw  eigen  stukje natuur, voor houtproductie of voor belegging?   Op 19 juni  2025 zal er een  mooi rechthoekig  bosperceel,  gelegen  op de Holterberg, aan de Oude Hellendoornseweg, bij inschrijving worden verkocht.  Het bosperceel is kadastraal bekend:  Gemeente Holten, sectie B nr.  815, groot      9.860 m2 Gemeente Holten, sectie B, nr. 816, groot      9.940 m2 TOTAAL		  				       19.800 m2   Het perceel is via de o …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,,Losse grond,,Bosperceel,,HOLTEN B 815-HOLTEN B 816,0 ha 98 a 60 ca (geheel perceel)-0 ha 99 a 40 ca (geheel perceel),Zand,,,,
